taxid	scientific_name	kegg
1172562	Helicobacter cinaedi PAGU611	hcp
1172565	Lonsdalea populi	lpop
1173025	Geitlerinema sp. PCC 7407	gei
1173026	Gloeocapsa sp. PCC 7428	glp
1173263	Synechococcus sp. PCC 7502	synp
1176198	Streptomyces harbinensis	shar
1176587	Niabella ginsenosidivorans	nia
1178515	Paenibacillus swuensis	pswu
1178516	Spirosoma montaniterrae	smon
1178537	Bacillus xiamenensis	bxi
118062	Methanobacterium congolense	mcub
118126	Methanoculleus chikugoensis	mchk
118163	Pleurocapsa sp. PCC 7327	plp
1182568	Deinococcus puniceus	dpu
1183377	Pyrococcus sp. ST04	pys
1185652	Sinorhizobium fredii USDA 257	sfd
1186051	Blattabacterium sp. (Blaberus giganteus)	bbg
118797	Lipotes vexillifer	lve
1188319	Ferriphaselus amnicola	fam
1190415	Pseudomonas asturiensis	past
1191459	Flammeovirga sp. MY04	flm
119206	Aerococcus sanguinicola	asan
1193729	Candidatus Endolissoclinum faulkneri L2	thal
1196083	Snodgrassella alvi	salv
1196095	Gilliamella apicola	gap
1197717	Cloacibacillus porcorum	cpor
1197719	Salmonella bongori N268-08	sbz
1198676	Streptococcus mutans GS-5	smut
1201292	Enterococcus faecalis ATCC 29212	efq
1201294	Methanoculleus bourgensis MS2	mbg
1206109	Candidatus Portiera aleyrodidarum BT-B-HRs	ple
1207075	Pseudomonas sp. UW4	ppuu
1208324	Celeribacter indicus	cid
1208918	Candidatus Kinetoplastibacterium crithidii TCC036E	kct
1208923	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	kbl
1209989	Tepidanaerobacter acetatoxydans Re1	tep
1211579	Pseudomonas putida NBRC 14164	ppun
121224	Pediculus humanus corporis	phu
121225	Pediculus humanus	phu
121290	Hyphomicrobium sulfonivorans	121290
121292	Pseudarthrobacter sulfonivorans	psul
1215089	Planococcus halocryophilus	phc
1216976	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	axn
121719	Pannonibacter phragmitetus	pphr
121759	Paracoccidioides brasiliensis	pbn
1217692	Acinetobacter sp. NIPH 298	1217692
1217694	Acinetobacter sp. CIP 64.2	1217694
1217698	Acinetobacter sp. NIPH 3623	1217698
1217703	Acinetobacter sp. ANC 4105	1217703
1217708	Acinetobacter sp. NIPH 2100	1217708
1217712	Acinetobacter sp. NIPH 758	1217712
121845	Diaphorina citri	dci
1218493	Lactobacillus kullabergensis	lkl
1221500	Fictibacillus phosphorivorans	fpn
122355	Pseudomonas psychrophila	ppsh
1223566	Bradyrhizobium sp. CCGE-LA001	brc
1224746	Gluconobacter oxydans H24	goh
1225179	Bartonella quintana RM-11	bqr
122586	Neisseria meningitidis MC58	nme
1226968	Azospirillum humicireducens	ahu
1227555	Pyrobaculum sp. WP30	pyw
1229727	Salipiger profundus	tpro
1229756	Leuconostoc gelidum JB7	lge
1231626	Cardinium endosymbiont cEper1 of Encarsia pergandiella	che
1235591	Pseudorhodoplanes sinuspersici	psin
1236179	Janthinobacterium sp. B9-8	jab
1236608	Moraxella catarrhalis BBH18	mct
1236908	Wolbachia endosymbiont of Drosophila simulans wNo	wed
1238	Piscirickettsia salmonis	psal
123899	Bordetella trematum	btrm
1244528	Campylobacter fetus subsp. testudinum 03-427	camp
1245	Leuconostoc mesenteroides	lme
1245910	Borreliella chilensis	bchi
1246	Leuconostoc lactis	llf
1247649	Bordetella holmesii ATCC 51541	bho
1249101	Mycolicibacterium celeriflavum	mcee
1249480	Candidatus Sulfuricurvum sp. RIFRC-1	sulr
1249552	Pseudohongiella spirulinae	pspi
1254	Pediococcus acidilactici	Pediococcus
1254432	Sorangium cellulosum So0157-2	scu
1257021	Flammeovirgaceae bacterium 311	fbt
1262449	Clostridium pasteurianum DSM 525 = ATCC 6013	cpat
