Taxonomy_ID	Species_Name	Common_Name	gprofiler_ID	KEGG
7918	Lepisosteus oculatus	Spotted gar	loculatus	NAN
7209	Loa loa	Loa loa	lloa	loa
7209	Loa loa	Loa loa (PRJNA24608)	loloaprjna246086	loa
7209	Loa loa	Loa loa (PRJNA37757)	loloaprjna37757	loa
9785	Loxodonta africana	Elephant	lafricana	lav
9541	Macaca fascicularis	Crab-eating macaque	mfascicularis	mcf
9544	Macaca mulatta	Macaque	mmulatta	mcc
3750	Malus domestica	Malus domestica Golden	mdgolden	mdm
3983	Manihot esculenta	Manihot esculenta	mesculenta	mesc
106582	Maylandia zebra	Zebra mbuna	mzebra	mze
3880	Medicago truncatula	Medicago truncatula	mtruncatula	mtr
10036	Mesocricetus auratus	Golden Hamster	mauratus	10036
79684	Microtus ochrogaster	Prairie vole	mochrogaster	NAN
27923	Mnemiopsis leidyi	Mnemiopsis leidyi	mleidyi	NAN
13616	Monodelphis domestica	Opossum	mdomestica	mdo
10090	Mus musculus	Mouse	mmusculus	mmu
59463	Myotis lucifugus	Microbat	mlucifugus	NAN
1026970	Nannospalax galili	Upper Galilee mountains blind mole rat	ngalili	ngi
7425	Nasonia vitripennis	Nasonia vitripennis (AsymCx)	nvitripennis	nvi
45351	Nematostella vectensis	Nematostella vectensis	nvectensis	nve
32507	Neolamprologus brichardi	Lyretail cichlid	nbrichardi	NAN
61853	Nomascus leucogenys	Gibbon	nleucogenys	nle
9315	Notamacropus eugenii	Wallaby	neugenii	NAN
9978	Ochotona princeps	Pika	oprinceps	NAN
10160	Octodon degus	Degu	odegus	NAN
8128	Oreochromis niloticus	Nile tilapia	oniloticus	onl
9258	Ornithorhynchus anatinus	Platypus	oanatinus	oaa
9986	Oryctolagus cuniculus	Rabbit	ocuniculus	ocu
40148	Oryza glumipatula	Oryza glumipatula	oglumipatula	NAN
40149	Oryza meridionalis	Oryza meridionalis	omeridionalis	NAN
4529	Oryza rufipogon	Oryza rufipogon	orufipogon	NAN
4533	Oryza brachyantha	Oryza brachyantha	obrachyantha	obr
4536	Oryza nivara	Oryza nivara	onivara	NAN
4537	Oryza punctata	Oryza punctata	opunctata	NAN
4538	Oryza glaberrima	Oryza glaberrima	oglaberrima	NAN
65489	Oryza barthii	Oryza barthii	obarthii	NAN
8090	Oryzias latipes	Japanese medaka HdrR	olatipes	ola
30611	Otolemur garnettii	Bushbaby	ogarnettii	NAN
9940	Ovis aries	Sheep	oarambouillet	oas
9940	Ovis aries	Sheep (texel)	oaries	oas
9597	Pan paniscus	Bonobo	ppaniscus	pps
9598	Pan troglodytes	Chimpanzee	ptroglodytes	ptr
9555	Papio anubis	Olive baboon	panubis	NAN
5888	Paramecium tetraurelia	Paramecium tetraurelia	ptetraurelia	ptm
13735	Pelodiscus sinensis	Chinese softshell turtle	psinensis	pss
3885	Phaseolus vulgaris	Phaseolus vulgaris	pvulgaris	pvu
3218	Physcomitrium patens	Physcomitrella patens	ppatens	ppp
164328	Phytophthora ramorum	Phytophthora ramorum	pramorum	NAN
67593	Phytophthora sojae	Phytophthora sojae	psojae	psoj
5855	Plasmodium vivax	Plasmodium vivax	pvivax	pvx
48698	Poecilia formosa	Amazon molly	pformosa	NAN
8081	Poecilia reticulata	Guppy	preticulata	pret
9601	Pongo abelii	Orangutan	pabelii	pon
3694	Populus trichocarpa	Populus trichocarpa	ptrichocarpa	pop
3760	Prunus persica	Prunus persica	ppersica	pper
132908	Pteropus vampyrus	Megabat	pvampyrus	NAN
303518	Pundamilia nyererei	Makobe Island cichlid	pnyererei	NAN
10116	Rattus norvegicus	Rat	rnorvegicus	rno
61622	Rhinopithecus roxellana	Golden snub-nosed monkey	rroxellana	rro
13249	Rhodnius prolixus	Rhodnius prolixus	rprolixus	13249
4932	Saccharomyces cerevisiae	Saccharomyces cerevisiae	scerevisiae	sce
9305	Sarcophilus harrisii	Tasmanian devil	sharrisii	shr
6183	Schistosoma mansoni	Schistosoma mansoni (PRJEA36577)	scmansprjea36577	smm
6183	Schistosoma mansoni	Schistosoma mansoni	smansoni	smm
88036	Selaginella moellendorffii	Selaginella moellendorffii	smoellendorffii	smo
4555	Setaria italica	Setaria italica	sitalica	sita
4081	Solanum lycopersicum	Solanum lycopersicum	slycopersicum	sly
4113	Solanum tuberosum	Solanum tuberosum	stuberosum	sot
42254	Sorex araneus	Shrew	saraneus	NAN
4558	Sorghum bicolor	Sorghum bicolor	sbicolor	sbi
144197	Stegastes partitus	Bicolor damselfish	spartitus	NAN
126957	Strigamia maritima	Strigamia maritima	smaritima	NAN
7668	Strongylocentrotus purpuratus	Strongylocentrotus purpuratus (Spur 01)	spurpuratus	spu
34506	Strongyloides ratti	Strongyloides ratti (PRJEB125) [WS276]	strattprjeb125	NAN
34506	Strongyloides ratti	Strongyloides ratti	sratti	NAN
9823	Sus scrofa	Pig	sscrofa	ssc
31033	Takifugu rubripes	Fugu	trubripes	tru
32264	Tetranychus urticae	Tetranychus urticae	turticae	tut
3641	Theobroma cacao	Theobroma cacao Belizian Criollo B97-61/B2	tccriollo	tcc
3641	Theobroma cacao	Theobroma cacao Matina 1-6	tcacao	tcc
7070	Tribolium castaneum	Tribolium castaneum	tcastaneum	tca
6334	Trichinella spiralis	Trichinella spiralis (PRJNA12603)	trspirprjna12603	tsp
6334	Trichinella spiralis	Trichinella spiralis (PRJNA257433)	trspirprjna257433	tsp
6334	Trichinella spiralis	Trichinella spiralis	tspiralis	tsp
10228	Trichoplax adhaerens	Trichoplax adhaerens	tadhaerens	tad
4565	Triticum aestivum	Triticum aestivum Arinalrfor	taarinalrfor	4565
4565	Triticum aestivum	Triticum aestivum Cadenza	tacadenza	4565
4565	Triticum aestivum	Triticum aestivum Claire	taclaire	4565
4565	Triticum aestivum	Triticum aestivum Jagger	tajagger	4565
4565	Triticum aestivum	Triticum aestivum Julius	tajulius	4565
4565	Triticum aestivum	Triticum aestivum Lancer	talancer	4565
4565	Triticum aestivum	Triticum aestivum Landmark	talandmark	4565
4565	Triticum aestivum	Triticum aestivum Mace	tamace	4565
4565	Triticum aestivum	Triticum aestivum Norin61	tanorin61	4565
4565	Triticum aestivum	Triticum aestivum Paragon	taparagon	4565
4565	Triticum aestivum	Triticum aestivum Robigus	tarobigus	4565
4565	Triticum aestivum	Triticum aestivum Stanley	tastanley	4565
4565	Triticum aestivum	Triticum aestivum Sy Mattis	tamattis	4565
4565	Triticum aestivum	Triticum aestivum	taestivum	4565
4565	Triticum aestivum	Triticum aestivum Weebill	taweebil	4565
4572	Triticum urartu	Triticum urartu	turartu	NAN
5691	Trypanosoma brucei	Trypanosoma brucei	tbrucei	tbr
9739	Tursiops truncatus	Dolphin	ttruncatus	NAN
29073	Ursus maritimus	Polar bear	umaritimus	umr
29760	Vitis vinifera	Vitis vinifera	vvinifera	vvi
8364	Xenopus tropicalis	Tropical clawed frog	xtropicalis	xtr
8083	Xiphophorus maculatus	Platyfish	xmaculatus	xma
4577	Zea mays	Zea mays	zmays	zma
136037	Zootermopsis nevadensis	Zootermopsis nevadensis	znevadensis	zne
